source,target,relationship,weight
microsoft/vscode-copilot-release#13255,info-needed,has_label,1
microsoft/vscode-copilot-release#1115,bug,has_label,1
microsoft/vscode-copilot-release#8428,bug,has_label,1
microsoft/vscode-copilot-release#8428,terminal,has_label,1
microsoft/vscode-copilot-release#7410,bug,has_label,1
microsoft/vscode-copilot-release#7410,info-needed,has_label,1
microsoft/vscode-copilot-release#7410,notebook,has_label,1
microsoft/vscode-copilot-release#7512,bug,has_label,1
microsoft/vscode-copilot-release#7512,info-needed,has_label,1
microsoft/vscode-copilot-release#7512,notebook,has_label,1
microsoft/vscode-copilot-release#7630,bug,has_label,1
microsoft/vscode-copilot-release#7630,info-needed,has_label,1
microsoft/vscode-copilot-release#7630,notebook,has_label,1
microsoft/vscode-copilot-release#13900,info-needed,has_label,1
microsoft/vscode-copilot-release#13900,custom-instructions,has_label,1
microsoft/vscode-copilot-release#3604,info-needed,has_label,1
microsoft/vscode-copilot-release#3604,cross-file-editing,has_label,1
microsoft/vscode-copilot-release#11419,info-needed,has_label,1
microsoft/vscode-copilot-release#11419,inline-completions,has_label,1
microsoft/vscode-copilot-release#13627,info-needed,has_label,1
microsoft/vscode-copilot-release#13627,completions,has_label,1
microsoft/vscode-copilot-release#13273,feature-request,has_label,1
microsoft/vscode-copilot-release#13273,chat-agent,has_label,1
microsoft/vscode-copilot-release#7378,feature-request,has_label,1
microsoft/vscode-copilot-release#7378,chat,has_label,1
microsoft/vscode-copilot-release#10109,bug,has_label,1
microsoft/vscode-copilot-release#5760,upstream,has_label,1
microsoft/vscode-copilot-release#5927,bug,has_label,1
microsoft/vscode-copilot-release#5927,chat,has_label,1
microsoft/vscode-copilot-release#13110,under-discussion,has_label,1
microsoft/vscode-copilot-release#4543,bug,has_label,1
microsoft/vscode-copilot-release#4499,bug,has_label,1
microsoft/vscode-copilot-release#4497,bug,has_label,1
microsoft/vscode-copilot-release#4497,postponed-during-endgame,has_label,1
microsoft/vscode-copilot-release#4486,bug,has_label,1
microsoft/vscode-copilot-release#1642,bug,has_label,1
microsoft/vscode-copilot-release#554,github-team,has_label,1
microsoft/vscode-copilot-release#554,feature-request,has_label,1
microsoft/vscode-copilot-release#12770,custom-instructions,has_label,1
microsoft/vscode-copilot-release#12875,info-needed,has_label,1
microsoft/vscode-copilot-release#12875,freeze-slow-crash-leak,has_label,1
microsoft/vscode-copilot-release#2678,bug,has_label,1
microsoft/vscode-copilot-release#2678,inline-chat,has_label,1
microsoft/vscode-copilot-release#2678,info-needed,has_label,1
microsoft/vscode-copilot-release#2678,inline-chat-v1,has_label,1
microsoft/vscode-copilot-release#2763,bug,has_label,1
microsoft/vscode-copilot-release#2763,inline-chat,has_label,1
microsoft/vscode-copilot-release#2763,info-needed,has_label,1
microsoft/vscode-copilot-release#2763,inline-chat-v1,has_label,1
microsoft/vscode-copilot-release#3011,bug,has_label,1
microsoft/vscode-copilot-release#3011,inline-chat,has_label,1
microsoft/vscode-copilot-release#3011,info-needed,has_label,1
microsoft/vscode-copilot-release#3011,inline-chat-v1,has_label,1
microsoft/vscode-copilot-release#4765,inline-chat,has_label,1
microsoft/vscode-copilot-release#4765,info-needed,has_label,1
microsoft/vscode-copilot-release#4765,inline-chat-v1,has_label,1
microsoft/vscode-copilot-release#4834,info-needed,has_label,1
microsoft/vscode-copilot-release#4834,inline-chat-v1,has_label,1
microsoft/vscode-copilot-release#6037,inline-chat,has_label,1
microsoft/vscode-copilot-release#6037,info-needed,has_label,1
microsoft/vscode-copilot-release#6037,inline-chat-v1,has_label,1
