source,target,relationship,weight
user_DarylZero,hn_29920035,commented_on_story,1
user_DavidPP,hn_43410866,commented_on_story,1
user_DavidSJ,hn_31211280,commented_on_story,1
user_DeathArrow,hn_35083093,commented_on_story,1
user_DeathArrow,hn_35152851,commented_on_story,1
user_DeathArrow,hn_48002136,commented_on_story,1
user_Deathmax,hn_27676266,commented_on_story,1
user_DebtDeflation,hn_43613194,commented_on_story,1
user_Deukhoofd,hn_47521799,commented_on_story,1
user_DidYaWipe,hn_44302870,commented_on_story,1
user_Doctor-R,hn_39853123,commented_on_story,1
user_Double_a_92,hn_35152851,commented_on_story,2
user_Dowwie,hn_46810282,commented_on_story,1
user_DrNosferatu,hn_45163362,commented_on_story,1
user_Dr_Birdbrain,hn_46318852,commented_on_story,1
user_Draiken,hn_46549823,commented_on_story,1
user_Dwedit,hn_35657982,commented_on_story,1
user_Dwedit,hn_46985151,commented_on_story,1
user_EGreg,hn_29920035,commented_on_story,1
user_EagnaIonat,hn_45053764,commented_on_story,1
user_EagnaIonat,hn_47006615,commented_on_story,1
user_Earw0rm,hn_44580567,commented_on_story,1
user_EastLondonCoder,hn_47106686,commented_on_story,1
user_EcommerceFlow,hn_44940089,commented_on_story,1
user_Elbouyave,hn_43410866,commented_on_story,1
user_Eldodi,hn_47768133,commented_on_story,1
user_EmeraldSky,hn_47912500,commented_on_story,1
user_Entinel,hn_35657982,commented_on_story,1
user_Etheryte,hn_43448432,commented_on_story,1
user_Faaak,hn_47622436,commented_on_story,1
user_Fernicia,hn_43613194,commented_on_story,1
user_Flux159,hn_46593022,commented_on_story,1
user_Fr0styMatt88,hn_47664912,commented_on_story,1
user_FrankWilhoit,hn_47664912,commented_on_story,1
user_FrankyHollywood,hn_33485544,commented_on_story,1
user_Frannky,hn_47106686,commented_on_story,1
user_Fraterkes,hn_44746621,commented_on_story,1
user_Frieren,hn_47932028,commented_on_story,1
user_FunnyLookinHat,hn_27676266,commented_on_story,1
user_GabrielBlessed,hn_48246659,commented_on_story,1
user_Galanwe,hn_45416228,commented_on_story,1
user_Garlef,hn_47762901,commented_on_story,1
user_GartzenDeHaes,hn_35470915,commented_on_story,1
user_Gehinnn,hn_43613194,commented_on_story,1
user_GistNoesis,hn_28131745,commented_on_story,1
user_GistNoesis,hn_47762901,commented_on_story,1
