source,target,relationship,weight
Jet_Xu,hn_42183760,posted_story,1
JohnFen,hn_43462171,commented_on_story,1
JoostBoer,hn_47597085,commented_on_story,1
JoshTriplett,hn_43193018,commented_on_story,1
Jotalea,hn_44493503,commented_on_story,1
JulianQuinn,hn_47838508,commented_on_story,1
KETpXDDzR,hn_27687450,commented_on_story,1
KTibow,hn_43754620,commented_on_story,1
Karrot_Kream,hn_44811567,commented_on_story,1
Karsteski,hn_47282777,commented_on_story,1
KellyCriterion,hn_47282777,commented_on_story,1
Kerrick,hn_47006615,commented_on_story,1
KillerRAK,hn_47282777,commented_on_story,1
Kim_Bruning,hn_44742251,commented_on_story,1
Kiro,hn_36495680,commented_on_story,1
Kiro,hn_44302870,commented_on_story,1
Kirr,hn_47963204,commented_on_story,1
Krasnol,hn_45320431,commented_on_story,1
KronisLV,hn_42675725,commented_on_story,1
Kuinox,hn_46542036,commented_on_story,1
LesZedCB,hn_32327711,commented_on_story,1
LetsGetTechnicl,hn_47660925,commented_on_story,1
Levitating,hn_47586778,commented_on_story,1
Lockal,hn_46978710,commented_on_story,1
Lucasoato,hn_46985151,commented_on_story,1
Macha,hn_44493503,commented_on_story,1
MagicMoonlight,hn_35921375,commented_on_story,1
MagicMoonlight,hn_40919253,commented_on_story,1
MagicWishMonkey,hn_28191362,commented_on_story,1
MajorLettuce,hn_47768133,commented_on_story,1
MarkMarine,hn_43448432,commented_on_story,1
Marlinski,hn_45525363,posted_story,1
MarquesMa,hn_31825742,commented_on_story,1
MayeulC,hn_35264725,commented_on_story,1
MichaelMoser123,hn_35921375,commented_on_story,1
Mikho,hn_46227422,commented_on_story,1
MillionOClock,hn_47878905,commented_on_story,1
MisterTea,hn_46985151,commented_on_story,1
Mouvelie,hn_44493503,commented_on_story,1
MrContent04,hn_45163362,commented_on_story,1
MrOrelliOReilly,hn_46734302,commented_on_story,1
MrOrelliOReilly,hn_47878905,commented_on_story,1
Multiplayer,hn_47633396,commented_on_story,1
MutedEstate45,hn_44780878,commented_on_story,1
MyUltiDev,hn_47768133,commented_on_story,1
Netaro,hn_44940089,commented_on_story,1
Nic0,hn_35470915,commented_on_story,1
NicuCalcea,hn_44302870,commented_on_story,1
NiloCK,hn_47838508,commented_on_story,1
NineWillows,hn_43739037,commented_on_story,1
NischalM,hn_44780878,commented_on_story,1
NitpickLawyer,hn_44940089,commented_on_story,1
O5vYtytb,hn_35657982,commented_on_story,1
OJFord,hn_43739037,commented_on_story,1
OisinMoran,hn_45416228,commented_on_story,1
OldfieldFund,hn_44780878,commented_on_story,1
OtherShrezzing,hn_47521799,commented_on_story,2
OutOfHere,hn_44031432,commented_on_story,2
OutOfHere,hn_44780878,commented_on_story,1
PAMANOCH,hn_33226515,commented_on_story,1
Painsawman123,hn_46765460,commented_on_story,1
Painsawman123,hn_47584540,commented_on_story,1
PaulHoule,hn_43246130,commented_on_story,1
PaulHoule,hn_45761979,commented_on_story,1
PhysicalNomad,hn_35152851,commented_on_story,1
PiersonMarks,hn_40456457,commented_on_story,1
Pxtl,hn_43988315,commented_on_story,1
QuadrupleA,hn_47521799,commented_on_story,1
ROFISH,hn_35470915,commented_on_story,1
RagnarD,hn_46545620,commented_on_story,1
Reason077,hn_47586778,commented_on_story,1
Retr0id,hn_46978710,commented_on_story,1
Reubend,hn_44780878,commented_on_story,1
Rickasaurus,hn_44966856,commented_on_story,1
RivieraKid,hn_35261065,commented_on_story,1
Robdel12,hn_46978710,commented_on_story,1
Robdel12,hn_47878905,commented_on_story,1
Ronrey,hn_47006615,commented_on_story,1
SCdF,hn_43739037,commented_on_story,1
